Date,Open,High,Low,Close,Adj Close
2010-11-24,44.57143,45.057144,44.535713,44.971428,38.931641
2010-11-26,44.82,45.385715,44.705715,45.0,38.956387
2010-11-29,45.07143,45.354286,44.482857,45.267143,39.187645
2010-11-30,44.791428,44.908573,44.41,44.450001,38.480263
2010-12-01,45.03857,45.392857,45.0,45.200001,39.129532
2010-12-02,45.361427,45.57143,44.984287,45.450001,39.345947
2010-12-03,45.287144,45.521427,45.191429,45.348572,39.258148
2010-12-06,45.52,46.047142,45.488571,45.735714,39.593285
2010-12-07,46.257141,46.284286,45.445713,45.458572,39.353374
2010-12-08,45.66143,45.860001,45.30143,45.85857,39.699638
2010-12-09,46.01857,46.07143,45.574287,45.68,39.545059
2010-12-10,45.664288,45.864285,45.514286,45.794285,39.643997
2010-12-13,46.33857,46.437141,45.857143,45.952858,39.781277
2010-12-14,45.96143,46.077145,45.57143,45.755714,39.610603
2010-12-15,45.714287,46.142857,45.598572,45.765713,39.619251
2010-12-16,45.869999,46.087143,45.728573,45.892857,39.729332
2010-12-17,45.947144,45.970001,45.747143,45.80143,39.650185
2010-12-20,45.942856,46.17857,45.46143,46.029999,39.848045
2010-12-21,46.142857,46.341427,46.007141,46.314285,40.094151
2010-12-22,46.337143,46.531429,46.221428,46.451427,40.212875
2010-12-23,46.42857,46.450001,46.167141,46.228573,40.019943
2010-12-27,46.121429,46.491428,45.931427,46.382858,40.153526
2010-12-28,46.558571,46.665714,46.437141,46.495716,40.251225
2010-12-29,46.602856,46.635715,46.442856,46.470001,40.228962
2010-12-30,46.497143,46.501427,46.150002,46.237144,40.02737
2010-12-31,46.135715,46.21143,45.901428,46.080002,39.891342
2011-01-03,46.52,47.18,46.405716,47.081429,40.758278
2011-01-04,47.491428,47.5,46.878571,47.327145,40.970993
2011-01-05,47.078571,47.762856,47.07143,47.714287,41.306126
2011-01-06,47.817142,47.892857,47.557144,47.675713,41.272743
2011-01-07,47.712856,48.049999,47.414288,48.017143,41.568314
2011-01-10,48.404285,49.032856,48.167141,48.921429,42.351151
2011-01-11,49.26857,49.279999,48.495716,48.805714,42.250977
2011-01-12,49.035713,49.204285,48.857143,49.202858,42.594788
2011-01-13,49.308571,49.52,49.121429,49.382858,42.75061
2011-01-14,49.412857,49.782856,49.205715,49.782856,43.096882
2011-01-18,47.074287,49.251427,46.57143,48.664288,42.128551
2011-01-19,49.764286,49.799999,48.125713,48.405716,41.904705
2011-01-20,48.061428,48.328571,47.16,47.525715,41.142883
2011-01-21,47.681427,47.84,46.66143,46.674286,40.405804
2011-01-24,46.695713,48.207142,46.674286,48.207142,41.732792
2011-01-25,48.047142,48.777142,47.795715,48.771427,42.221302
2011-01-26,48.994286,49.371429,48.785713,49.121429,42.524296
2011-01-27,49.111427,49.241428,48.975716,49.029999,42.445145
2011-01-28,49.167141,49.200001,47.647144,48.014286,41.565842
2011-01-31,47.971428,48.577145,47.757141,48.474285,41.964069
2011-02-01,48.757141,49.378571,48.71143,49.290001,42.670216
2011-02-02,49.207142,49.32143,49.078571,49.188572,42.58242
2011-02-03,49.114285,49.177143,48.364285,49.062859,42.473591
2011-02-04,49.091427,49.528572,49.072857,49.5,42.852013
2011-02-07,49.69857,50.464287,49.662857,50.26857,43.517361
2011-02-08,50.525715,50.78857,50.307144,50.742859,43.927963
2011-02-09,50.741428,51.285713,50.695713,51.165714,44.294018
2011-02-10,51.055714,51.42857,49.714287,50.648571,43.84634
2011-02-11,50.67857,51.114285,50.505714,50.978573,44.132027
2011-02-14,50.970001,51.354286,50.958572,51.311428,44.420162
2011-02-15,51.312859,51.424286,51.078571,51.414288,44.509216
2011-02-16,51.542858,52.128571,51.5,51.875713,44.908665
2011-02-17,51.035713,51.467144,50.931427,51.185715,44.311333
2011-02-18,51.244286,51.357143,49.931427,50.080002,43.354118
2011-02-22,48.878571,49.342857,48.245716,48.372856,41.876259
2011-02-23,48.395714,49.234287,48.372856,48.945713,42.372185
2011-02-24,49.145714,49.307144,48.33857,48.982857,42.404331
2011-02-25,49.322857,49.775715,49.257141,49.737144,43.057316
2011-02-28,50.177143,50.721428,50.16,50.458572,43.681858
2011-03-01,50.781429,50.817142,49.668571,49.901428,43.199551
2011-03-02,49.994286,50.621429,49.771427,50.302856,43.54705
2011-03-03,51.027142,51.398571,50.845715,51.365715,44.467155
2011-03-04,51.438572,51.470001,51.107143,51.42857,44.521584
2011-03-07,51.628571,51.667141,50.187141,50.765713,43.947746
2011-03-08,50.701427,51.057144,50.32143,50.822857,43.997223
2011-03-09,50.669998,50.68,50.085712,50.352856,43.590332
2011-03-10,49.874287,49.967144,49.271427,49.524284,42.873047
2011-03-11,49.332859,50.331429,49.285713,50.284286,43.530972
2011-03-14,50.454285,50.925713,50.187141,50.508572,43.725136
2011-03-15,48.871429,49.691429,48.585712,49.347141,42.719685
2011-03-16,48.857143,49.0,46.60857,47.144287,40.812687
2011-03-17,48.118572,48.515713,47.237144,47.805714,41.385277
2011-03-18,48.16143,48.314285,47.142857,47.238571,40.894302
2011-03-21,47.998573,48.534286,47.894287,48.471428,41.961586
2011-03-22,48.937141,48.945713,48.44857,48.742859,42.196568
2011-03-23,48.468571,48.602856,47.992859,48.455715,41.947987
2011-03-24,48.835712,49.42857,48.408573,49.281429,42.662811
2011-03-25,49.724285,50.294285,49.574287,50.220001,43.475327
2011-03-28,50.450001,50.617142,50.062859,50.062859,43.339283
2011-03-29,49.665714,50.137142,49.437141,50.137142,43.403591
2011-03-30,50.091427,50.125713,49.634285,49.804287,43.115456
2011-03-31,49.48,49.971428,49.437141,49.787144,43.100601
2011-04-01,50.158573,50.227142,49.042858,49.222858,42.612103
2011-04-04,49.187141,49.228573,48.342857,48.741428,42.195332
2011-04-05,48.14143,48.892857,48.0,48.412857,41.910877
2011-04-06,48.745716,49.128571,48.162857,48.291428,41.805752
2011-04-07,48.299999,48.632858,48.004284,48.297142,41.810707
2011-04-08,48.560001,48.592857,47.707142,47.865715,41.437222
2011-04-11,47.722858,47.952858,47.145714,47.257141,40.910381
2011-04-12,47.212856,47.675713,47.171429,47.485714,41.108269
2011-04-13,47.860001,48.02,47.502857,48.01857,41.569561
2011-04-14,47.828571,48.0,47.437141,47.488571,41.110729
2011-04-15,47.614285,47.662857,46.685715,46.779999,40.497334
2011-04-18,46.585712,47.46143,45.737144,47.407143,41.040241
2011-04-19,47.585712,48.282856,47.387142,48.265713,41.783489
2011-04-20,49.072857,49.392857,48.785713,48.915714,42.346214
2011-04-21,50.714287,50.732857,49.78857,50.099998,43.371437
2011-04-25,50.048573,50.535713,50.042858,50.43,43.657127
2011-04-26,50.517143,50.712856,49.907143,50.060001,43.336811
2011-04-27,50.32,50.335712,49.585712,50.021427,43.303425
2011-04-28,49.455715,49.964287,49.360001,49.535713,42.882938
2011-04-29,49.540001,50.564285,49.524284,50.01857,43.300945
2011-05-02,49.962856,50.067142,49.357143,49.468571,42.824818
2011-05-03,49.712856,49.984287,49.374287,49.742859,43.062275
2011-05-04,49.751427,50.261429,49.554287,49.938572,43.231686
2011-05-05,49.771427,50.135715,49.435715,49.535713,42.882938
2011-05-06,49.955715,50.0,49.458572,49.522858,42.871822
2011-05-09,49.694286,49.885715,49.504284,49.657143,42.988056
2011-05-10,49.841427,49.955715,49.522858,49.921429,43.216854
2011-05-11,49.860001,50.0,49.32,49.604286,42.94231
